name,games,gameStarted,minPlayed,fieldGoals,fieldGoalsAttemp,fieldGoalsPerc,point2_Goals,point2_Attemp,point2_Perc,point3_Goals,point3_Attemp,point3_Perc,freeThrows,freeThrowsAttemp,freeThrowsPerc,offensRebounds,deffensRebounds,draft
Akrum Ahemed,31.0,14.0,15.9,1.6,4.1,0.386,1.0,2.0,0.476,0.6,2.1,0.297,0.7,0.9,0.793,0.4,1.0,0
Aksel Bolin,114.0,79.0,23.1,2.0,4.5,0.432,1.3,2.6,0.509,0.6,2.0,0.332,1.3,1.9,0.699,1.4,2.7,0
Al Burge,14.0,0.0,2.3,0.5,0.9,0.538,0.5,0.8,0.636,0.0,0.1,0.0,0.1,0.1,1.0,0.4,0.2,0
Al Hightower,6.0,0.0,1.2,0.2,0.2,1.0,0.7,1.0,0.667,0.3,0.0,0.0,0.2,0.3,0.2,1.0,0.0,0
Al Hoover,12.0,0.0,3.8,1.3,2.2,0.615,0.2,0.4,0.4,0.7,0.4,0.8,0.0,0.5,0.8,2.8,0.0,0
Al Horford,109.0,100.0,25.7,3.9,6.6,0.586,3.9,6.6,0.589,0.0,0.0,0.0,2.5,4.1,0.619,2.3,5.6,1
Al Miller,104.0,86.0,22.7,1.9,4.8,0.399,1.7,4.0,0.427,0.2,0.8,0.267,1.1,1.9,0.586,0.2,2.0,0
Al Williams,27.0,9.0,19.6,3.0,6.1,0.494,2.6,4.9,0.526,0.4,1.2,0.364,1.6,2.4,0.652,0.9,2.1,0
Al Williams,27.0,9.0,19.6,3.0,6.1,0.494,2.6,4.9,0.526,0.4,1.2,0.364,1.6,2.4,0.652,0.9,2.1,0
Al Williams,27.0,9.0,19.6,3.0,6.1,0.494,2.6,4.9,0.526,0.4,1.2,0.364,1.6,2.4,0.652,0.9,2.1,0
